Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Qiao, Y., Gao, Y., Wang, Y., Dai, D., Luan, Z.","59971352100;59971352200;58261467600;57225997289;59130158600;","Integrating Generative Artificial Intelligence and Human Design: The Impact of Automation Level on Human Creative Experience and Efficiency",2026,"International Journal of Human Computer Interaction","42","2",,"1061","1083",0,2,"10.1080/10447318.2025.2518333","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009541191&doi=10.1080%2f10447318.2025.2518333&partnerID=40&md5=df460513ffb4b750aa2d347c8093f0f8",Article,"Final","",Scopus,2-s2.0-105009541191
"Devanbu, P.T., Baudry, B., Voas, J.","35583833100;57203847520;57203071719;","Promises and Perils of LLM- and Agent-Generated Code",2026,"Computer","59","1",,"184","186",0,,"10.1109/MC.2025.3627694","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026753138&doi=10.1109%2fMC.2025.3627694&partnerID=40&md5=1ddd824057f2c82fe3d355403b6f74a3",Article,"Final","",Scopus,2-s2.0-105026753138
"Krasniqi, R., Xu, D., Vieira, M.","36494767400;57201947036;7202140748;","SE Perspective on LLMs: Biases in Code Generation, Code Interpretability, and Code Security Risks",2025,"ACM Computing Surveys","58","5","137","","",0,,"10.1145/3774324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025673270&doi=10.1145%2f3774324&partnerID=40&md5=536ee7e42ae0f1627d78f5defbb8bf10",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105025673270
"Narayanan, L., Sabbagh, Y., Voudouris, A.A.","7004167096;58344391800;56490986000;","Diversity-seeking jump games in networks",2025,"Autonomous Agents and Multi Agent Systems","39","2","32","","",0,,"10.1007/s10458-025-09714-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010175712&doi=10.1007%2fs10458-025-09714-8&partnerID=40&md5=280309306fe96c9333e8b7ed56ed5b6f",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105010175712
"Menassel, Y., Marir, T., Mokhati, F., Gupta, V.","55765084400;35105541300;12546208300;57218835356;","Operational profile-based test case generation for normative MAS",2025,"Journal of Systems and Software","230",,"112553","","",0,2,"10.1016/j.jss.2025.112553","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009703493&doi=10.1016%2fj.jss.2025.112553&partnerID=40&md5=98b0b631d9e48d7e6804b4e86a97a7c7",Article,"Final","",Scopus,2-s2.0-105009703493
"Parziale, A., Voria, G., Giordano, G., Catolino, G., Robles, G., Palomba, F.","59727949800;58064534900;57843134600;57131181700;8286496000;55321369000;","Fairness on a budget, across the board: A cost-effective evaluation of fairness-aware practices across contexts, tasks, and sensitive attributes",2025,"Information and Software Technology","188",,"107858","","",0,,"10.1016/j.infsof.2025.107858","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014807328&doi=10.1016%2fj.infsof.2025.107858&partnerID=40&md5=ef628467f5536d55d2041702d0d28c49",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105014807328
"ter Beek, M.H.","8382048200;","Models for formal methods and tools: the case of railway systems",2025,"Software and Systems Modeling","24","6",,"1935","1954",0,,"10.1007/s10270-025-01276-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000096178&doi=10.1007%2fs10270-025-01276-3&partnerID=40&md5=8617889ba9e327f0619bd6962a1bfc75",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-86000096178
"Singh, A., Joshi, A., Jiang, J., Paik, H.-Y.","60088987400;55437053100;36809616000;57226387254;","A survey of classification tasks and approaches for legal contracts",2025,"Artificial Intelligence Review","58","12","380","","",0,,"10.1007/s10462-025-11359-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019246339&doi=10.1007%2fs10462-025-11359-8&partnerID=40&md5=b9367b90219db5d3c0ddf66fa45e5912",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105019246339
"Wang, T., Tian, S., Minas, G.A., Bian, C.","56349180800;60023586300;60023157300;60023586400;","AMACollision: An advanced framework for testing autonomous vehicles based on adversarial multi-agent",2025,"Journal of Systems and Software","230",,"112578","","",0,,"10.1016/j.jss.2025.112578","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012197133&doi=10.1016%2fj.jss.2025.112578&partnerID=40&md5=2f717ae70f1596e3af2b06f55746e73c",Article,"Final","",Scopus,2-s2.0-105012197133
"Mehdiyev, N., Majlatow, M., Fettke, P.","35782063300;58204635800;55888276100;","Interpretable and explainable machine learning methods for predictive process monitoring: a systematic literature review",2025,"Artificial Intelligence Review","58","12","378","","",0,1,"10.1007/s10462-025-11399-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018851066&doi=10.1007%2fs10462-025-11399-0&partnerID=40&md5=8233ef8e96ce5cd0990f3e78c02b96ac",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-105018851066
"Dong, Y., Mu, R., Zhang, Y., Sun, S., Zhang, T., Wu, C., Jin, G., Qi, Y., Hu, J., Meng, J., Bensalem, S., Huang, X.","57223978511;57350256100;57202387210;58675171700;58621412200;57223966429;57221156803;57778792600;58898418700;56376389800;13606975800;55445367700;","Safeguarding large language models: a survey",2025,"Artificial Intelligence Review","58","12","382","","",0,2,"10.1007/s10462-025-11389-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019259640&doi=10.1007%2fs10462-025-11389-2&partnerID=40&md5=f99432792ec51db6c05d6392893793d8",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-105019259640
"Khadem, E.A., Movaghar, A.","54418884000;6603397985;","From challenges to metrics: An LLM-driven DevOps recommendation system grounded in evidence-based mappings",2025,"Array","28",,"100547","","",0,,"10.1016/j.array.2025.100547","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019272672&doi=10.1016%2fj.array.2025.100547&partnerID=40&md5=d56df9a79d09dd059abb7312abad1d12",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-105019272672
"Darif, I., El Boussaidi, G., Kpodjedo, S.","58066805300;13104902500;25926481300;","Requirements specification using templates: a model-driven approach",2025,"Software and Systems Modeling","24","6",,"1897","1934",0,,"10.1007/s10270-025-01265-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217435254&doi=10.1007%2fs10270-025-01265-6&partnerID=40&md5=f2e789b832b589ed69c8b1bdf98d94dd",Article,"Final","",Scopus,2-s2.0-85217435254
